nazwa szablonu
1_KG
2_EG
3_DG
1_FIRST
2_SECOND
1.1_HLS_EG
1.2_HLS_DG
1.3_VENT_EG
1.4_VENT_DG
1.5_CO_EG
1.6_CO_DG
1.7_SW_EG
1.8_SW_DG
1.9_SW-R
2.0_D_EG
2.1_D_DG
